Name	Result	Iterations	Total time	Avg time (ns)	Avg memory (bytes)	Avg allocs (ops)	
IsPrime: Erat2(9973)	true	10000	1.922664004s	192266	5476	2	
IsPrime: Memo(9973)	true	10000000	2.97785776s	297	4	0	
IsPrime: SimpleErat(99991)	true	1000	1.710584121s	1710584	106597	2	
PrimesUpTo: SimpleErat(1000001)	999983	100	1.554161298s	15541612	1007720	2	
PrimesUpTo: Erat4(10001)	9973	10000	1.923988408s	192398	5476	2	
PrimesUpTo: Erat4(1000001)	999983	100	1.33137097s	13313709	508008	2	
IsPrime: Erat5(997)	true	100000	2.620736814s	26207	612	2	
IsPrime: Erat5(9973)	true	10000	1.905928611s	190592	5476	2	
IsPrime: Erat5(99991)	true	1000	1.532517571s	1532517	57446	2	
IsPrime: SimpleErat(999983)	true	100	1.605688644s	16056886	1007720	2	
PrimesUpTo: Memo(10001)	9973	10000	1.637436439s	163743	164	5	
PrimesUpTo: Erat2(101)	101	500000	2.309871476s	4619	164	2	
IsPrime: Erat3(101)	true	500000	2.161148855s	4322	165	2	
PrimesUpTo: SimpleErat(10001)	9973	10000	2.099979529s	209997	10596	2	
IsPrime: Erat5(101)	true	500000	2.165057913s	4330	165	2	
IsPrime: Erat5(999983)	true	100	1.320410312s	13204103	508008	2	
IsPrime: Erat2(101)	true	500000	2.218259682s	4436	165	2	
IsPrime: Erat2(997)	true	100000	2.655116808s	26551	612	2	
PrimesUpTo: Erat2(100001)	99991	1000	1.585975314s	1585975	57446	2	
PrimesUpTo: Memo(100001)	99991	2000	2.481166694s	1240583	164	5	
PrimesUpTo: SimpleErat(1001)	997	100000	2.667197239s	26671	1123	2	
PrimesUpTo: Erat3(101)	101	500000	2.201146237s	4402	164	2	
PrimesUpTo: Erat3(10001)	9973	10000	1.929349584s	192934	5476	2	
IsPrime: Erat3(9973)	true	10000	1.925978746s	192597	5476	2	
PrimesUpTo: Erat3(1001)	997	100000	2.58853312s	25885	612	2	
IsPrime: Erat3(999983)	true	100	1.282969604s	12829696	508008	2	
PrimesUpTo: Erat4(1001)	997	100000	2.57407637s	25740	612	2	
PrimesUpTo: Erat5(1000001)	999983	100	1.283885523s	12838855	508008	2	
IsPrime: Memo(101)	true	5000000	1.447889167s	289	4	0	
IsPrime: Memo(999983)	true	5000000	1.618107339s	323	4	0	
PrimesUpTo: SimpleErat(100001)	99991	1000	1.66704027s	1667040	106598	2	
PrimesUpTo: Erat4(101)	101	500000	2.229257952s	4458	165	2	
IsPrime: Erat4(101)	true	500000	2.099723573s	4199	165	2	
PrimesUpTo: Erat4(100001)	99991	2000	3.069101992s	1534550	57445	2	
PrimesUpTo: Erat5(1001)	997	100000	2.570442084s	25704	612	2	
IsPrime: SimpleErat(101)	true	500000	2.143166194s	4286	213	2	
IsPrime: Erat3(997)	true	100000	2.584300651s	25843	613	2	
IsPrime: Memo(997)	true	10000000	3.033955453s	303	4	0	
IsPrime: Memo(99991)	true	5000000	1.501186892s	300	4	0	
PrimesUpTo: Erat2(1000001)	999983	100	1.347982315s	13479823	508010	2	
IsPrime: Erat2(999983)	true	100	1.385770794s	13857707	508005	2	
IsPrime: Erat4(99991)	true	2000	3.285374765s	1642687	57444	2	
IsPrime: SimpleErat(9973)	true	5000	1.023522329s	204704	10596	2	
IsPrime: Erat2(99991)	true	1000	1.565630518s	1565630	57444	2	
IsPrime: Erat4(997)	true	100000	2.667867752s	26678	613	2	
PrimesUpTo: Memo(1001)	997	20000	2.149868176s	107493	165	5	
PrimesUpTo: SimpleErat(101)	101	500000	2.351909923s	4703	213	2	
PrimesUpTo: Erat3(1000001)	999983	100	1.369835778s	13698357	508010	2	
IsPrime: Erat4(9973)	true	10000	1.903500198s	190350	5476	2	
IsPrime: Erat4(999983)	true	100	1.434716128s	14347161	508005	2	
PrimesUpTo: Erat5(100001)	99991	2000	3.230532923s	1615266	57445	2	
PrimesUpTo: Erat2(1001)	997	100000	2.569159987s	25691	612	2	
IsPrime: Erat3(99991)	true	1000	1.692955286s	1692955	57444	2	
PrimesUpTo: Erat5(101)	101	500000	2.280521627s	4561	165	2	
IsPrime: SimpleErat(997)	true	100000	2.76505132s	27650	1125	2	
PrimesUpTo: Erat2(10001)	9973	10000	1.969036146s	196903	5476	2	
PrimesUpTo: Erat5(10001)	9973	10000	2.080931633s	208093	5476	2	
PrimesUpTo: Memo(101)	101	20000	1.825800962s	91290	165	5	
PrimesUpTo: Memo(1000001)	999983	100	1.004074795s	10040747	160	5	
PrimesUpTo: Erat3(100001)	99991	1000	1.53955729s	1539557	57445	2	
